TIME;IPSRC;IPDST;FLAGS;SEQ;ACK;WIN;OPTIONS;LENGTH
11:42:06.683376;190-0-175-100.gba.solunet.com.ar.2590;184.107.43.74.http:;[S],;1763007414:1763007534,;Vide;512,;Vide;120:
11:42:06.683393;190-0-175-100.gba.solunet.com.ar.2591;184.107.43.74.http:;[S],;1769477762:1769477882,;Vide;512,;Vide;120:
11:42:06.683409;190-0-175-100.gba.solunet.com.ar.2592;184.107.43.74.http:;[S],;927510383:927510503,;Vide;512,;Vide;120:
11:42:06.683426;190-0-175-100.gba.solunet.com.ar.2593;184.107.43.74.http:;[S],;262496618:262496738,;Vide;512,;Vide;120:
11:42:06.683442;190-0-175-100.gba.solunet.com.ar.2594;184.107.43.74.http:;[S],;1944187333:1944187453,;Vide;512,;Vide;120:
11:42:06.683458;190-0-175-100.gba.solunet.com.ar.2595;184.107.43.74.http:;[S],;1368242046:1368242166,;Vide;512,;Vide;120:
11:42:06.683475;190-0-175-100.gba.solunet.com.ar.2596;184.107.43.74.http:;[S],;1996469549:1996469669,;Vide;512,;Vide;120:
11:42:06.683491;190-0-175-100.gba.solunet.com.ar.2597;184.107.43.74.http:;[S],;755440943:755441063,;Vide;512,;Vide;120:
11:42:06.683507;190-0-175-100.gba.solunet.com.ar.2598;184.107.43.74.http:;[S],;2061395892:2061396012,;Vide;512,;Vide;120:
11:42:06.683524;190-0-175-100.gba.solunet.com.ar.2599;184.107.43.74.http:;[S],;1161699354:1161699474,;Vide;512,;Vide;120:
11:42:06.683540;190-0-175-100.gba.solunet.com.ar.zebrasrv;184.107.43.74.http:;[S],;628612553:628612673,;Vide;512,;Vide;120:
11:42:06.683557;190-0-175-100.gba.solunet.com.ar.zebra;184.107.43.74.http:;[S],;126113657:126113777,;Vide;512,;Vide;120:
11:42:06.683573;190-0-175-100.gba.solunet.com.ar.ripd;184.107.43.74.http:;[S],;545657814:545657934,;Vide;512,;Vide;120:
11:42:06.683589;190-0-175-100.gba.solunet.com.ar.ripngd;184.107.43.74.http:;[S],;118227196:118227316,;Vide;512,;Vide;120:
11:42:06.683606;190-0-175-100.gba.solunet.com.ar.ospfd;184.107.43.74.http:;[S],;2052107445:2052107565,;Vide;512,;Vide;120:
11:42:06.683622;190-0-175-100.gba.solunet.com.ar.bgpd;184.107.43.74.http:;[S],;791895479:791895599,;Vide;512,;Vide;120:
11:42:06.683638;190-0-175-100.gba.solunet.com.ar.ospf6d;184.107.43.74.http:;[S],;1716341514:1716341634,;Vide;512,;Vide;120:
11:42:06.683655;190-0-175-100.gba.solunet.com.ar.ospfapi;184.107.43.74.http:;[S],;1585739250:1585739370,;Vide;512,;Vide;120:
11:42:06.683671;190-0-175-100.gba.solunet.com.ar.isisd;184.107.43.74.http:;[S],;1570200442:1570200562,;Vide;512,;Vide;120:
11:42:06.683687;190-0-175-100.gba.solunet.com.ar.2609;184.107.43.74.http:;[S],;1478292369:1478292489,;Vide;512,;Vide;120:
11:42:06.683704;190-0-175-100.gba.solunet.com.ar.2610;184.107.43.74.http:;[S],;178640618:178640738,;Vide;512,;Vide;120:
11:42:06.683720;190-0-175-100.gba.solunet.com.ar.2611;184.107.43.74.http:;[S],;1503505816:1503505936,;Vide;512,;Vide;120:
11:42:06.683738;190-0-175-100.gba.solunet.com.ar.2612;184.107.43.74.http:;[S],;1661422384:1661422504,;Vide;512,;Vide;120:
11:42:06.683756;190-0-175-100.gba.solunet.com.ar.2613;184.107.43.74.http:;[S],;369358272:369358392,;Vide;512,;Vide;120:
11:42:06.683779;190-0-175-100.gba.solunet.com.ar.2614;184.107.43.74.http:;[S],;64354808:64354928,;Vide;512,;Vide;120:
11:42:06.683804;190-0-175-100.gba.solunet.com.ar.2615;184.107.43.74.http:;[S],;884510772:884510892,;Vide;512,;Vide;120:
11:42:06.683824;190-0-175-100.gba.solunet.com.ar.2616;184.107.43.74.http:;[S],;1885396166:1885396286,;Vide;512,;Vide;120:
11:42:06.683841;190-0-175-100.gba.solunet.com.ar.2617;184.107.43.74.http:;[S],;817987225:817987345,;Vide;512,;Vide;120:
11:42:06.683857;190-0-175-100.gba.solunet.com.ar.2618;184.107.43.74.http:;[S],;2132864374:2132864494,;Vide;512,;Vide;120:
11:42:06.683874;190-0-175-100.gba.solunet.com.ar.2619;184.107.43.74.http:;[S],;1242566005:1242566125,;Vide;512,;Vide;120:
11:42:06.683890;190-0-175-100.gba.solunet.com.ar.2620;184.107.43.74.http:;[S],;1759567823:1759567943,;Vide;512,;Vide;120:
11:42:06.683907;190-0-175-100.gba.solunet.com.ar.2621;184.107.43.74.http:;[S],;1151909946:1151910066,;Vide;512,;Vide;120:
11:42:06.683924;190-0-175-100.gba.solunet.com.ar.2622;184.107.43.74.http:;[S],;1189070135:1189070255,;Vide;512,;Vide;120:
11:42:06.683951;190-0-175-100.gba.solunet.com.ar.2623;184.107.43.74.http:;[S],;651075127:651075247,;Vide;512,;Vide;120:
11:42:06.683970;190-0-175-100.gba.solunet.com.ar.2624;184.107.43.74.http:;[S],;1947905188:1947905308,;Vide;512,;Vide;120:
11:42:06.683990;190-0-175-100.gba.solunet.com.ar.2625;184.107.43.74.http:;[S],;581296706:581296826,;Vide;512,;Vide;120:
11:42:06.684009;190-0-175-100.gba.solunet.com.ar.2626;184.107.43.74.http:;[S],;66975375:66975495,;Vide;512,;Vide;120:
11:42:06.684029;190-0-175-100.gba.solunet.com.ar.2627;184.107.43.74.http:;[S],;253927097:253927217,;Vide;512,;Vide;120:
11:42:06.684048;190-0-175-100.gba.solunet.com.ar.dict;184.107.43.74.http:;[S],;1897592815:1897592935,;Vide;512,;Vide;120:
11:42:06.684064;190-0-175-100.gba.solunet.com.ar.2629;184.107.43.74.http:;[S],;616917477:616917597,;Vide;512,;Vide;120:
11:42:06.684080;190-0-175-100.gba.solunet.com.ar.2630;184.107.43.74.http:;[S],;1868567734:1868567854,;Vide;512,;Vide;120:
11:42:06.684097;190-0-175-100.gba.solunet.com.ar.2631;184.107.43.74.http:;[S],;1986188842:1986188962,;Vide;512,;Vide;120:
11:42:06.684113;190-0-175-100.gba.solunet.com.ar.2632;184.107.43.74.http:;[S],;1095894460:1095894580,;Vide;512,;Vide;120:
11:42:06.684129;190-0-175-100.gba.solunet.com.ar.2633;184.107.43.74.http:;[S],;1890826048:1890826168,;Vide;512,;Vide;120:
11:42:06.684146;190-0-175-100.gba.solunet.com.ar.2634;184.107.43.74.http:;[S],;194243508:194243628,;Vide;512,;Vide;120:
11:42:06.684162;190-0-175-100.gba.solunet.com.ar.2635;184.107.43.74.http:;[S],;205737932:205738052,;Vide;512,;Vide;120:
11:42:06.684178;190-0-175-100.gba.solunet.com.ar.2636;184.107.43.74.http:;[S],;569721151:569721271,;Vide;512,;Vide;120:
11:42:06.684194;190-0-175-100.gba.solunet.com.ar.2637;184.107.43.74.http:;[S],;855051032:855051152,;Vide;512,;Vide;120:
11:42:06.684210;190-0-175-100.gba.solunet.com.ar.2638;184.107.43.74.http:;[S],;499983177:499983297,;Vide;512,;Vide;120:
11:42:06.684227;190-0-175-100.gba.solunet.com.ar.2639;184.107.43.74.http:;[S],;1074718027:1074718147,;Vide;512,;Vide;120:
11:42:06.684243;190-0-175-100.gba.solunet.com.ar.2640;184.107.43.74.http:;[S],;1910064303:1910064423,;Vide;512,;Vide;120:
11:42:06.684260;190-0-175-100.gba.solunet.com.ar.2641;184.107.43.74.http:;[S],;1037178976:1037179096,;Vide;512,;Vide;120:
